- МЕБЕЛЬНЫЙ УГОЛОК
,,,,KUR-50x1000,50,50,1000,2.0,5,1.560,7.80,166.30,159.90,31,
,,,,KUR-50x1200,50,50,1200,2.0,5,1.870,9.35,200.72,193.00,31,
,,,,KUR-50x1500,50,50,1500,2.0,5,2.340,11.70,240.24,231.00,31,
,,,,KUR-50x2000,50,50,2000,2.0,5,3.120,15.60,344.03,330.80,31,
,,,,KUR-60x400,60,60,400,2.0,10,0.750,7.50,74.57,71.70,31,
,,,,KUR-60x500,60,60,500,2.0,10,0.936,9.36,86.01,82.70,31,
,,,,KUR-60х600,60,60,600,2.0,10,1.123,11.23,109.20,105.00,31,
,,,,KUR-60х800,60,60,800,2.0,10,1.500,15.00,145.70,140.10,31,
,,,,KUR-60х1000,60,60,1000,2.0,5,1.872,9.36,177.84,171.00,31,
,,,,KUR-60х1200,60,60,1200,2.0,5,2.246,11.23,206.44,198.50,31,
,,,,KUR-60х1500,60,60,1500,2.0,5,2.800,14.00,275.18,264.60,31,
,,,,KUR-60х2000,60,60,2000,2.0,5,3.740,18.70,360.36,346.50,31,
,,,,KUR-80x400,80,80,400,2.0,10,1.000,10.00,91.73,88.20,31,
,,,,KUR-80x500,80,80,500,2.0,10,1.248,12.48,120.43,115.80,31,
,,,,KUR-80x600,80,80,600,2.0,10,1.500,15.00,142.17,136.70,31,
,,,,KUR-80x800,80,80,800,2.0,10,2.000,20.00,189.28,182.00,31,
,,,,KUR-80x1000,80,80,1000,2.0,5,2.500,12.50,229.32,220.50,31,
,,,,KUR-80x1200,80,80,1200,2.0,5,3.000,15.00,263.95,253.80,31,
,,,,KUR-80x1500,80,80,1500,2.0,5,3.740,18.70,349.44,336.00,31,
,,,,KUR-80x2000,80,80,2000,2.0,5,4.990,24.95,465.50,447.60,31,
,,,,KUR-100x300,100,100,300,2.0,10,0.936,9.36,82.58,79.40,31,
,,,,KUR-100x500,100,100,500,2.0,10,1.560,15.60,137.59,132.30,31,
,,,,KUR-100x600,100,100,600,2.0,10,1.870,18.70,177.74,170.90,31,
,,,,KUR-100x800,100,100,800,2.0,10,2.500,25.00,235.14,226.10,31,
,,,,KUR-100x1000,100,100,1000,2.0,5,3.120,15.60,277.47,266.80,31,
,,,,KUR-100x1200,100,100,1200,2.0,5,3.740,18.70,346.32,333.00,31,
,,,,KUR-100x1500,100,100,1500,2.0,5,4.680,23.40,436.80,420.00,31,
,,,,KUR-100x2000,100,100,2000,2.0,5,6.240,31.20,556.92,535.50,31,
- ЛЕНТА МОНТАЖНАЯ
,,,,LM-20x2.0,10,,20,2.0,1,3.120,,256.05,246.20,44,
,,,,LM-30x1.0,25,,30,1.0,1,5.850,,447.72,430.50,44,
,,,,LM-30x1.5,10,,30,1.5,1,3.510,,283.92,273.00,44,
,,,,LM-30x2.0,10,,30,2.0,1,4.600,,372.42,358.10,44,
,,,,LM-40х1.5,10,,40,1.5,1,4.680,,366.39,352.30,44,
,,,,LM-40х2.0,10,,40,2.0,1,6.240,,442.31,425.30,44,
,,,,LM-50x1.5,10,,50,1.5,1,5.850,,492.54,473.60,44,
,,,,LM-50x2.0,10,,50,2.0,1,7.800,,580.32,558.00,44,
,,,,LM-60х1.5,10,,60,1.5,1,7.020,,548.70,527.60,44,
,,,,LM-60х2.0,10,,60,2.0,1,9.360,,693.78,667.10,44,
,,,,LM-80х1.5,10,,80,1.5,1,9.360,,705.43,678.30,44,
,,,,LM-80х2.0,10,,80,2.0,1,12.480,,927.16,891.50,44,
,,,,LM-100x1.5,10,,100,1.5,1,11.700,,873.60,840.00,44,
,,,,LM-100х2.0,10,,100,2.0,1,15.600,,1129.13,1085.70,44,
,,,,LM-120x1.5,10,,120,1.5,1,14.040,,1152.11,1107.80,44,
